"samples"	"species"	"color"	"id_samples"	"id_species"	"latitude"	"longitude"	"voucher_specimen"
"1"	"R.cavernosa.SWE.1.autoMSMS"	"R.cavernosa"	"lemonchiffon4"	"R.cavernosa.SWE"	"Riccia cavernosa"	"55.935140445"	"14.261055376"	"JE4010743"
"2"	"R.cavernosa.SWE.2.autoMSMS"	"R.cavernosa"	"lemonchiffon4"	"R.cavernosa.SWE"	"Riccia cavernosa"	"55.935140445"	"14.261055376"	"JE4010743"
"3"	"R.cavernosa.SWE.3.autoMSMS"	"R.cavernosa"	"lemonchiffon4"	"R.cavernosa.SWE"	"Riccia cavernosa"	"55.935140445"	"14.261055376"	"JE4010743"
"4"	"R.canaliculata.GOT.1.autoMSMS"	"R.canaliculata"	"orange4"	"R.canaliculata.GOT"	"Riccia canaliculata"	"57.79400221"	"18.484261361"	"JE4010747"
"5"	"R.canaliculata.GOT.2.autoMSMS"	"R.canaliculata"	"orange4"	"R.canaliculata.GOT"	"Riccia canaliculata"	"57.79400221"	"18.484261361"	"JE4010747"
"6"	"R.canaliculata.GOT.3.autoMSMS"	"R.canaliculata"	"orange4"	"R.canaliculata.GOT"	"Riccia canaliculata"	"57.79400221"	"18.484261361"	"JE4010747"
"7"	"R.bifurca.GOT.1.autoMSMS"	"R.bifurca"	"mediumaquamarine"	"R.bifurca.GOT"	"Riccia bifurca"	"57.848309241"	"18.633133946"	"JE4010752"
"8"	"R.bifurca.GOT.2.autoMSMS"	"R.bifurca"	"mediumaquamarine"	"R.bifurca.GOT"	"Riccia bifurca"	"57.848309241"	"18.633133946"	"JE4010752"
"9"	"R.bifurca.GOT.3.autoMSMS"	"R.bifurca"	"mediumaquamarine"	"R.bifurca.GOT"	"Riccia bifurca"	"57.848309241"	"18.633133946"	"JE4010752"
"10"	"R.ciliifera.GOT.1.autoMSMS"	"R.ciliifera"	"palegreen4"	"R.ciliifera.GOT"	"Riccia ciliifera"	"57.845770321"	"18.674179874"	"JE4010748"
"11"	"R.ciliifera.GOT.2.autoMSMS"	"R.ciliifera"	"palegreen4"	"R.ciliifera.GOT"	"Riccia ciliifera"	"57.845770321"	"18.674179874"	"JE4010748"
"12"	"R.ciliifera.GOT.3.autoMSMS"	"R.ciliifera"	"palegreen4"	"R.ciliifera.GOT"	"Riccia ciliifera"	"57.845770321"	"18.674179874"	"JE4010748"
"13"	"R.subbifurca.OE1.1.autoMSMS"	"R.subbifurca"	"limegreen"	"R.subbifurca.OE1"	"Riccia subbifurca"	"56.528407722"	"16.521946862"	"JE4010750"
"14"	"R.subbifurca.OE1.2.autoMSMS"	"R.subbifurca"	"limegreen"	"R.subbifurca.OE1"	"Riccia subbifurca"	"56.528407722"	"16.521946862"	"JE4010750"
"15"	"R.subbifurca.OE1.3.autoMSMS"	"R.subbifurca"	"limegreen"	"R.subbifurca.OE1"	"Riccia subbifurca"	"56.528407722"	"16.521946862"	"JE4010750"
"16"	"R.sorocarpa.SWE.1.autoMSMS"	"R.sorocarpa"	"royalblue"	"R.sorocarpa.SWE"	"Riccia sorocarpa"	"56.358981715"	"14.541635529"	"JE4010744"
"17"	"R.sorocarpa.SWE.2.autoMSMS"	"R.sorocarpa"	"royalblue"	"R.sorocarpa.SWE"	"Riccia sorocarpa"	"56.358981715"	"14.541635529"	"JE4010744"
"18"	"R.sorocarpa.SWE.3.autoMSMS"	"R.sorocarpa"	"royalblue"	"R.sorocarpa.SWE"	"Riccia sorocarpa"	"56.358981715"	"14.541635529"	"JE4010744"
"19"	"R.beyrichiana.OEL.1.autoMSMS"	"R.beyrichiana"	"turquoise3"	"R.beyrichiana.OEL"	"Riccia beyrichiana"	"56.588578513"	"16.60593546"	"JE4010749"
"20"	"R.beyrichiana.OEL.2.autoMSMS"	"R.beyrichiana"	"turquoise3"	"R.beyrichiana.OEL"	"Riccia beyrichiana"	"56.588578513"	"16.60593546"	"JE4010749"
"21"	"R.beyrichiana.OEL.3.autoMSMS"	"R.beyrichiana"	"turquoise3"	"R.beyrichiana.OEL"	"Riccia beyrichiana"	"56.588578513"	"16.60593546"	"JE4010749"
"22"	"R.subbifurca.OE2.1.autoMSMS"	"R.subbifurca"	"limegreen"	"R.subbifurca.OE2"	"Riccia subbifurca"	"56.588578513"	"16.60593546"	"JE4010751"
"23"	"R.subbifurca.OE2.2.autoMSMS"	"R.subbifurca"	"limegreen"	"R.subbifurca.OE2"	"Riccia subbifurca"	"56.588578513"	"16.60593546"	"JE4010751"
"24"	"R.subbifurca.OE2.3.autoMSMS"	"R.subbifurca"	"limegreen"	"R.subbifurca.OE2"	"Riccia subbifurca"	"56.588578513"	"16.60593546"	"JE4010751"
"25"	"R.ciliifera.HAL.1.autoMSMS"	"R.ciliifera"	"palegreen4"	"R.ciliifera.HAL"	"Riccia ciliifera"	"51.503291273"	"11.94492469"	"JE4010753"
"26"	"R.ciliifera.HAL.2.autoMSMS"	"R.ciliifera"	"palegreen4"	"R.ciliifera.HAL"	"Riccia ciliifera"	"51.503291273"	"11.94492469"	"JE4010753"
"27"	"R.ciliifera.HAL.3.autoMSMS"	"R.ciliifera"	"palegreen4"	"R.ciliifera.HAL"	"Riccia ciliifera"	"51.503291273"	"11.94492469"	"JE4010753"
"28"	"R.gougetiana.HAL.1.autoMSMS"	"R.gougetiana"	"seagreen4"	"R.gougetiana.HAL"	"Riccia gougetiana"	"51.503291273"	"11.94492469"	"JE4010754"
"29"	"R.gougetiana.HAL.2.autoMSMS"	"R.gougetiana"	"seagreen4"	"R.gougetiana.HAL"	"Riccia gougetiana"	"51.503291273"	"11.94492469"	"JE4010754"
"30"	"R.gougetiana.HAL.3.autoMSMS"	"R.gougetiana"	"seagreen4"	"R.gougetiana.HAL"	"Riccia gougetiana"	"51.503291273"	"11.94492469"	"JE4010754"
"31"	"R.huebeneriana.GOT.1.autoMSMS"	"R.huebeneriana"	"tomato4"	"R.huebeneriana.GOT"	"Riccia huebeneriana"	"56.361714341"	"13.850084042"	"JE4010745"
"32"	"R.huebeneriana.GOT.2.autoMSMS"	"R.huebeneriana"	"tomato4"	"R.huebeneriana.GOT"	"Riccia huebeneriana"	"56.361714341"	"13.850084042"	"JE4010745"
"33"	"R.huebeneriana.GOT.3.autoMSMS"	"R.huebeneriana"	"tomato4"	"R.huebeneriana.GOT"	"Riccia huebeneriana"	"56.361714341"	"13.850084042"	"JE4010745"
"34"	"A.gracilis.SWE.1.autoMSMS"	"A.gracilis"	"orchid3"	"A.gracilis.SWE"	"Asterella gracilis"	"58.030607002"	"16.455699317"	"JE4010742"
"35"	"A.gracilis.SWE.2.autoMSMS"	"A.gracilis"	"orchid3"	"A.gracilis.SWE"	"Asterella gracilis"	"58.030607002"	"16.455699317"	"JE4010742"
"36"	"A.gracilis.SWE.3.autoMSMS"	"A.gracilis"	"orchid3"	"A.gracilis.SWE"	"Asterella gracilis"	"58.030607002"	"16.455699317"	"JE4010742"
"37"	"R.gothica.GOT.1.autoMSMS"	"R.gothica"	"steelblue3"	"R.gothica.GOT"	"Riccia gothica"	"57.820616523"	"16.571632151"	"JE4010746"
"38"	"R.gothica.GOT.2.autoMSMS"	"R.gothica"	"steelblue3"	"R.gothica.GOT"	"Riccia gothica"	"57.820616523"	"16.571632151"	"JE4010746"
"39"	"R.gothica.GOT.3.autoMSMS"	"R.gothica"	"steelblue3"	"R.gothica.GOT"	"Riccia gothica"	"57.820616523"	"16.571632151"	"JE4010746"
"40"	"M.fragrans.GOT.1.autoMSMS"	"M.fragrans"	"magenta3"	"M.fragrans.GOT"	"Mannia fragrans"	"57.81875188"	"18.573477554"	"JE4010739"
"41"	"M.fragrans.GOT.2.autoMSMS"	"M.fragrans"	"magenta3"	"M.fragrans.GOT"	"Mannia fragrans"	"57.81875188"	"18.573477554"	"JE4010739"
"42"	"M.fragrans.GOT.3.autoMSMS"	"M.fragrans"	"magenta3"	"M.fragrans.GOT"	"Mannia fragrans"	"57.81875188"	"18.573477554"	"JE4010739"
"43"	"R.hemisphaerica.GOT.1.autoMSMS"	"R.hemisphaerica"	"mediumpurple3"	"R.hemisphaerica.GOT"	"Reboulia hemisphaerica subsp. hemisphaerica"	"57.81875188"	"18.573477554"	"JE4010740"
"44"	"R.hemisphaerica.GOT.2.autoMSMS"	"R.hemisphaerica"	"mediumpurple3"	"R.hemisphaerica.GOT"	"Reboulia hemisphaerica subsp. hemisphaerica"	"57.81875188"	"18.573477554"	"JE4010740"
"45"	"R.hemisphaerica.GOT.3.autoMSMS"	"R.hemisphaerica"	"mediumpurple3"	"R.hemisphaerica.GOT"	"Reboulia hemisphaerica subsp. hemisphaerica"	"57.81875188"	"18.573477554"	"JE4010740"
"46"	"A.hyalina.GOT.1.autoMSMS"	"A.hyalina"	"violetred"	"A.hyalina.GOT"	"Athalamia hyalina var. suecica"	"57.81875188"	"18.573477554"	"JE4010741"
"47"	"A.hyalina.GOT.2.autoMSMS"	"A.hyalina"	"violetred"	"A.hyalina.GOT"	"Athalamia hyalina var. suecica"	"57.81875188"	"18.573477554"	"JE4010741"
"48"	"A.hyalina.GOT.3.autoMSMS"	"A.hyalina"	"violetred"	"A.hyalina.GOT"	"Athalamia hyalina var. suecica"	"57.81875188"	"18.573477554"	"JE4010741"
