"Pyridine alkaloids"	"Phenylalanine-derived alkaloids"	"Aminoacids"	"Polyamines"	"Primary amides"	"Quinolizidine alkaloids"	"Steroidal alkaloids"	"Cephalosporins"	"Imidazole alkaloids"	"Purine alkaloids"	"Carboline alkaloids"	"Linear peptides"	"N-acyl amines"	"Piperidine alkaloids"	"Pyrrolidine alkaloids"	"Simple amide alkaloids"	"Thiodiketopiperazine alkaloids"	"Tricyclic guanidine alkaloids"	"Isoquinoline alkaloids"	"Open-chain polyketides"	"Purine nucleostides"	"Pyrimidine nucleostides"	"Cyclic peptides"	"Dipeptides"	"Fatty alcohols"	"Ergot alkaloids"	"Simple phenolic acids"	"Pyrrole alkaloids"	"Quinazoline alkaloids"	"Simple indole alkaloids"	"Tripeptides"	"Aminoglycosides"	"Pinane monoterpenoids"	"pteridine alkaloids"	"Pregnane steroids"	"Acridone alkaloids"	"Corynanthe type"	"Quinoline alkaloids"	"Simple coumarins"	"Phenylethylamines"	"Cyanogenic glycosides"	"Carbapenems"	"Simple diketopiperazine alkaloids"	"Mycosporine and Mycosporine-like amino acids"	"Lipopeptides"	"Indole diketopiperazine alkaloids L-Trp, L-Ala"	"Polyene macrolides"	"Halogenated hydrocarbons"	"Depsipeptides"	"Glucosinolates"	"Indole diketopiperazine alkaloids L-Trp, L-Pro"	"Saxitoxins"	"Chalcones"	"Amino cyclitols"	"Polysaccharides"	"Hydroxy fatty acids"	"Unsaturated fatty acids"	"Wax monoesters"	"Glycerophosphoethanolamines"	"Fatty acyl carnitines"	"Acetate-derived alkaloids"	"Menthane monoterpenoids"	"Ceramides"	"Monosaccharides"	"Cholane steroids"	"Glycerophosphocholines"	"Sphingoid bases"	"Simple aromatic polyketides"	"Chromones"	"Cinnamic acids and derivatives"	"Fatty acyl glycosides of mono- and disaccharides"	"Macrolide lactones"	"Erythromycins"	"Mitomycins"	"Iridoids monoterpenoids"	"Monocyclic monoterpenoids"	"Terpenoid alkaloids"	"Fatty aldehydes"	"Dicarboxylic acids"	"Oligomeric stibenes"	"Flavanones"	"Penicillins"	"Anthraquinones and anthrones"	"Tropolones and derivatives Shikimate"	"Carotenoids C40, β-β"	"Diacylglycerols"	"Ansa macrolides"	"Labdane diterpenoids"	"Catechols with side chains"	"Secoiridoid monoterpenoids"	"Aspidosperma type"	"Caryophyllane sesquiterpenoids"	"Androstane steroids"	"Apocarotenoids β-"	"Cholestane steroids"	"Drimane sesquiterpenoids"	"Ophiobolane sesterterpenoids"	"Baccharane triterpenoids"	"Limonoids"	"Oleanane triterpenoids"	"p-Terphenyls"	"Phenazine alkaloids"	"Simple oxindole alkaloids"	"Prostaglandins"	"Ansa peptide alkaloids"	"Azo and Azoxy alkaloids"	"Thiazole alkaloids"	"Carbazole alkaloids"	"Isoindole alkaloids"	"Terpenoid tetrahydroisoquinoline alkaloids"	"Tropane alkaloids"	"Aminosugars"	"Boromycins"	"3-Spirotetramic acids"	"Tetracyclines"	"Fatty acyl CoAs"	"Leukotrienes"	"Disaccharides"	"Shikimic acids and derivatives"	"Miscellaneous apocarotenoids"	"Furans"	"Amino fatty acids"	"Branched fatty acids"	"Oxygenated hydrocarbons"	"Thia fatty acids"	"Glycosylmonoacylglycerols"	"Glycerophosphoinositols"	"Other Octadecanoids"	"Neutral glycosphingolipids"	"2-pyrone derivatives"	"Ascarosides"	"Flavonols"	"Acyl phloroglucinols"	"Depsides"	"Flavones"	"Gallotannins"	"Isoflavones"	"Monomeric stilbenes"	"Neolignans"	"Proanthocyanins"	"Arylnaphthalene and aryltetralin lignans"	"Estrane steroids"	"Naphthoquinones"	"Furofuranoid lignans"	"Linear diarylheptanoids"	"Phenylethanoids"	"Apocarotenoidsε-"	"Kaurane and Phyllocladane diterpenoids"	"Prenyl quinone meroterpenoids"	"Hydroxy-hydroperoxyeicosatetraenoic acids"	"Other polyketide meroterpenoids"	"Tetraketide meroterpenoids"	"Trichothecane sesquiterpenoids"	"Polyprenol derivatives"	"Acyclic monoterpenoids"	"Dibenzylbutane lignans"	"Ecdysteroids"	"Polyether ionophores"	"Sophorolipids"	"Cycloartane triterpenoids"	"Benzodiazepine alkaloids"	"Acyclic guanidine alkaloids"	"Tantazoles and mirabazoles"	"Aspidosperma-Iboga hybrid type Vinca alkaloids"	"Hapalindole alkaloids"	"Indole-Diterpenoid alkaloids Penitrems"	"Prodigiosins"	"Tetrahydroisoquinoline alkaloids"	"Betalain alkaloids"	"RiPPs-Cyanobactins"	"Antimycins"	"Monocyclic guanidine alkaloids"	"Hydrocarbons"	"Glycerophosphates"	"Glycerophosphoserines"	"Oxidized glycerophospholipids"	"Oxo fatty acids"	"Jasmonic acids"	"Macrotetrolides"	"Azaphilones"	"Benzoquinones"	"Lactones"	"Miscellaneous polyketides"	"Phthalide derivatives"	"Fungal DPEs"	"Epothilones"	"Oligomycins"	"Polyprenylated cyclic polyketides Hop meroterpenoids"	"Bisnaphthalenes"	"Marine-bacterial DPEs"	"Dihydroflavonols"	"Flavan-3-ols"	"Flavonostilbenes"	"Coumaronochromones"	"Triacylglycerols"	"Acetogenins"	"Amphilectane diterpenoids"	"Irregular monoterpenoids"	"Microginins"	"Dammarane and Protostane triterpenoids"	"Abietane diterpenoids"	"Farnesane sesquiterpenoids"	"Longifolane sesquiterpenoids"	"Norlabdane diterpenoids"	"Phenoxazine alkaloids"	"Bicyclic guanidine alkaloids"	"Pyrrolizidine alkaloids"	"Yohimbine-like alkaloids"	"RiPPs-Thiopeptides"	"Oligomeric phloroglucinols phlorotannins"	"Hydroxy-hydroperoxyeicosapentaenoic acids"	"Thromboxanes"	"Glycosyldiacylglycerols"	"Monoacylglycerols"	"Glycerophosphoglycerols"	"Phoslactomycins or Phosphazomycins"	"Simple cyclic polyketides"	"Angucyclines"	"Pulvinones"	"Neoflavonoids"	"Selaginellins"	"Pterocarpan"	"Phenanthrenes"	"Megastigmanes"	"Aromadendrane sesquiterpenoids"	"Colensane and Clerodane diterpenoids"	"Eunicellane diterpenoids"	"Tetracyclic diterpenoids"	"Spirotetronate macrolides"	"12-oxophytodienoic acid metabolites"	"Daucane sesquiterpenoids"	"Decalins with side chains"	"Guaiane sesquiterpenoids"	"Monacolins and Monacolin derivatives"	"Cardenolides"	"Ergostane steroids"	"Friedelane triterpenoids"	"Lanostane, Tirucallane and Euphane triterpenoids"	"Quassinoids"
"R.cavernosa.SWE.1"	30	5	33	12	0	9	7	9	8	12	5	12	10	7	0	2	9	0	2	12	26	11	46	18	9	1	12	2	2	0	23	7	8	9	4	0	0	2	7	1	0	0	0	0	3	1	0	2	10	1	0	0	3	3	0	3	2	3	6	1	0	2	3	2	1	1	1	0	0	3	1	3	3	0	3	0	0	1	4	2	2	4	0	0	1	1	1	0	0	3	0	0	0	1	6	0	2	0	1	4	1	3	1	0	0	1	2	0	0	0	1	2	0	0	0	0	0	9	0	0	1	1	1	1	3	3	0	1	1	1	2	9	1	1	4	4	0	1	1	1	2	1	0	0	0	5	0	0	0	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0
"R.cavernosa.SWE.2"	18	3	41	13	0	6	11	14	6	4	7	3	2	7	1	3	7	0	0	4	23	13	8	31	8	2	16	4	4	3	11	6	5	9	11	1	1	2	7	2	1	1	0	0	0	0	0	3	2	2	0	0	4	3	0	5	1	1	2	0	0	1	3	3	1	0	0	0	2	7	2	2	2	1	6	0	0	2	3	2	3	5	2	0	0	1	0	1	0	4	2	0	0	1	1	0	0	1	1	0	0	5	1	0	0	1	2	2	0	1	0	3	0	0	0	1	1	8	0	0	1	1	0	1	1	0	1	3	0	0	2	9	2	1	5	7	2	2	1	1	1	0	0	0	0	6	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"R.cavernosa.SWE.3"	36	1	39	15	0	6	25	11	7	7	6	7	7	11	0	4	7	2	7	14	19	10	43	20	11	2	11	2	2	2	26	4	11	10	9	2	0	2	5	2	1	2	0	0	1	0	1	4	10	1	0	0	4	4	0	3	3	2	7	0	0	1	5	2	2	1	0	0	2	3	1	1	3	1	5	0	0	2	5	3	4	4	0	0	0	1	0	2	0	3	4	0	1	1	0	0	0	1	2	2	1	4	1	0	0	0	2	2	0	1	0	2	0	0	0	0	1	10	0	0	1	1	2	0	2	2	1	2	0	0	2	9	1	1	4	5	0	1	1	1	1	0	0	0	0	6	0	0	0	0	1	1	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0
"R.canaliculata.GOT.1"	44	4	69	27	1	4	37	10	7	13	10	12	11	14	0	7	9	3	7	20	28	21	67	36	15	4	8	6	5	6	38	8	10	19	12	1	2	3	6	2	1	1	0	0	1	0	1	5	13	2	0	0	4	7	11	5	3	1	10	0	1	1	7	4	1	2	1	0	1	6	0	4	7	1	5	0	0	1	6	3	5	3	5	1	3	1	0	1	1	7	5	0	1	1	4	0	0	1	4	2	1	2	1	0	0	1	1	3	0	2	0	6	0	0	0	2	2	5	1	0	1	1	1	0	2	7	0	0	2	3	0	13	0	2	11	1	1	3	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	5	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	2	1	0	1	1
"R.canaliculata.GOT.2"	46	3	68	29	1	9	40	11	6	13	12	15	13	14	0	7	8	3	9	22	32	25	74	34	14	5	9	5	5	4	40	8	10	18	10	1	2	3	7	2	1	2	0	0	2	0	1	3	12	2	0	0	5	6	11	6	4	2	11	0	1	1	7	5	1	2	1	0	1	6	2	4	8	1	5	0	0	4	5	3	5	4	5	1	3	1	0	0	0	7	3	1	1	1	4	0	0	1	4	3	1	2	1	0	0	1	1	3	0	2	0	6	0	0	0	2	2	5	1	0	1	1	2	0	2	7	0	0	0	3	0	13	0	2	11	1	1	4	0	0	3	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	6	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	2	1	0	1	1
"R.canaliculata.GOT.3"	49	5	68	27	0	6	37	12	6	13	11	13	12	15	1	6	7	4	6	22	30	22	72	38	16	6	7	4	3	4	41	9	10	18	11	0	2	3	7	2	2	2	0	0	3	0	1	2	12	2	0	0	5	7	10	4	3	3	10	0	1	1	9	5	2	2	1	0	1	5	1	4	8	1	5	0	0	1	5	3	5	3	5	2	3	1	0	0	1	7	3	1	1	1	4	0	0	1	5	3	1	2	1	1	0	1	1	3	0	2	0	7	0	0	0	2	2	5	1	0	0	1	1	0	2	5	0	0	2	3	0	13	0	2	10	1	1	3	0	0	3	0	0	0	0	0	0	2	0	0	0	2	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	6	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	2	1	0	1	1
"R.bifurca.GOT.1"	43	2	81	29	0	11	38	11	11	22	6	21	7	24	3	8	6	4	7	26	23	15	77	65	18	4	7	3	3	4	46	12	15	12	10	0	0	3	4	2	1	5	2	5	3	0	1	4	14	1	0	2	2	9	2	7	5	2	11	0	1	3	5	2	2	1	0	0	0	4	0	4	9	1	3	1	1	3	6	3	3	3	0	1	3	1	0	1	1	1	4	3	2	1	4	1	0	1	4	2	1	2	2	0	0	0	0	1	0	2	0	4	0	0	0	0	1	2	1	0	1	1	2	1	3	7	0	1	1	0	0	4	0	1	14	1	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	1	0	2	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	6	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0
"R.bifurca.GOT.2"	54	3	94	35	0	15	41	12	10	24	5	21	13	28	5	11	5	6	8	27	26	16	85	70	18	5	11	3	3	3	49	13	17	11	12	0	0	4	4	2	1	4	2	4	5	0	0	4	15	2	0	2	3	10	3	7	8	2	12	0	1	3	9	3	3	1	0	0	0	4	1	4	8	1	3	1	0	3	5	3	2	2	0	2	4	1	0	2	1	1	2	3	2	1	4	1	0	1	5	2	1	2	2	0	0	0	1	1	0	2	0	5	0	0	0	0	4	4	1	0	1	1	3	1	3	7	0	2	4	0	0	4	0	1	14	1	0	0	0	0	1	3	0	0	0	0	0	3	0	1	0	1	0	0	1	1	3	1	2	0	0	1	0	1	1	0	0	0	1	0	0	1	7	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0
