"R.bifurca.GOT.3"	47	3	90	31	0	15	39	11	12	23	6	21	9	25	4	10	5	6	6	25	24	15	75	72	19	5	9	4	3	2	44	15	16	12	11	0	0	2	4	2	0	7	1	3	4	0	1	5	18	1	0	2	3	9	3	7	7	4	10	0	1	2	8	2	3	0	0	0	0	4	0	4	9	1	2	1	1	2	6	3	3	2	0	1	3	1	0	2	1	1	4	4	2	1	4	1	0	1	5	1	1	2	2	0	1	0	1	1	0	2	0	5	0	0	0	0	1	3	1	0	1	1	2	1	3	7	0	2	3	0	0	4	0	1	15	1	1	0	0	0	0	3	0	0	0	0	0	3	0	1	0	1	0	0	1	1	3	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	6	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0
"R.ciliifera.GOT.1"	46	5	81	27	0	10	39	6	10	16	11	16	11	14	3	10	4	3	5	21	16	11	82	61	16	5	6	2	2	8	45	11	15	9	11	0	1	3	5	2	0	2	1	2	6	0	1	4	15	0	0	1	4	6	1	6	3	3	12	0	1	2	9	4	2	1	0	0	1	4	1	4	7	1	3	0	0	2	9	7	4	1	2	1	3	1	0	1	1	2	4	1	1	1	2	1	0	1	4	3	1	1	1	0	0	0	1	3	0	2	0	4	0	0	0	3	1	4	1	0	0	1	2	1	3	3	1	2	1	1	0	12	0	1	4	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	2	0	0	0	0
"R.ciliifera.GOT.2"	46	3	90	29	0	10	41	9	11	16	12	18	12	18	3	10	6	4	5	22	14	11	82	66	15	5	6	2	3	6	49	11	17	10	10	0	1	3	6	2	1	4	2	3	6	0	1	3	15	0	0	1	4	8	1	7	4	2	11	0	1	3	9	3	2	1	0	0	1	6	2	4	7	1	4	0	0	2	8	5	6	2	2	1	4	1	0	1	0	2	5	3	2	1	2	1	0	1	5	3	1	0	3	1	0	0	1	1	0	2	0	4	1	0	0	2	1	4	1	0	1	1	1	1	3	3	1	2	4	2	0	12	0	1	4	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	3	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	4	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	2	0	0	0	0
"R.ciliifera.GOT.3"	41	3	83	28	0	12	39	7	10	16	11	17	12	14	4	8	5	3	5	17	17	9	84	66	13	5	6	2	2	7	46	11	15	9	9	0	2	4	6	2	0	4	2	3	5	0	1	3	17	0	0	1	3	5	1	4	4	3	10	0	1	3	7	4	2	1	0	0	1	5	0	4	7	1	3	0	0	2	6	4	4	3	1	1	3	1	0	1	0	2	4	3	2	1	3	1	0	1	4	2	1	1	0	0	1	0	1	2	0	2	0	5	1	0	0	2	1	5	1	0	1	1	1	1	3	1	1	1	4	2	0	12	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	5	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	2	0	0	0	0
"R.subbifurca.OE1.1"	50	5	84	29	0	11	29	11	11	22	13	19	8	23	1	7	7	2	6	21	30	11	67	57	15	5	11	3	4	4	41	13	10	12	12	0	1	3	6	0	0	3	0	3	3	0	2	3	13	0	0	1	3	8	0	5	3	2	9	0	2	1	5	3	2	2	0	0	1	4	1	4	7	1	5	0	0	4	5	2	5	3	0	1	2	1	0	1	0	2	4	2	1	1	3	0	0	1	4	2	1	1	1	0	0	1	1	2	0	1	2	6	0	1	0	2	2	5	1	0	0	2	2	1	3	1	0	2	2	1	0	9	0	1	11	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	2	0	1	0	0	0	0	1	1	0	0	1	0	0	1	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	2	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0
"R.subbifurca.OE1.2"	52	8	92	33	1	8	35	13	15	26	13	16	9	25	1	8	7	2	6	21	27	11	69	59	18	5	13	5	3	6	47	13	11	12	11	0	1	3	7	0	1	3	2	2	3	0	1	4	15	0	0	1	3	8	2	8	3	2	8	1	2	1	6	4	1	0	0	0	1	6	0	2	10	1	5	0	1	2	6	2	5	3	0	1	2	1	0	1	0	2	4	2	1	1	4	1	0	1	5	2	1	1	1	0	0	1	1	2	0	2	2	5	0	1	0	2	3	4	1	0	1	2	0	1	3	4	0	3	2	1	0	10	1	1	14	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	5	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	2	0	0	1	0
"R.subbifurca.OE1.3"	56	7	105	32	1	14	34	13	12	27	13	19	9	26	4	9	9	3	5	21	28	14	56	64	17	5	13	3	4	5	49	13	16	13	12	0	0	4	6	1	0	6	1	5	4	0	2	4	13	0	0	2	4	10	0	9	6	3	10	1	2	3	3	6	2	1	1	0	0	7	1	4	7	1	5	1	1	4	9	2	7	3	0	1	1	1	0	2	1	1	4	2	1	1	3	1	0	1	4	2	1	1	1	0	0	1	1	3	0	2	2	6	0	0	0	2	2	4	1	0	1	2	1	1	2	2	0	4	1	2	0	6	1	1	15	2	1	1	1	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	2	2	0	1	0	1	0	1	1	0	0	0	1	0	0	1	7	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	2	1	0	0	0
"R.sorocarpa.SWE.1"	37	5	62	18	1	6	25	8	6	7	7	10	8	14	1	3	1	2	9	17	16	13	62	30	14	0	12	6	3	3	31	6	7	9	12	0	1	3	2	2	1	0	0	1	3	0	1	5	9	1	0	1	3	7	6	8	8	3	7	0	0	1	5	3	2	1	1	0	0	4	1	2	5	1	5	0	0	0	8	1	1	0	0	0	1	2	0	2	1	2	4	1	0	1	1	0	0	1	3	2	1	1	1	0	0	0	1	2	0	2	0	3	0	0	0	0	1	6	1	0	0	1	2	1	3	3	0	4	0	1	0	6	0	1	7	1	2	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0
"R.sorocarpa.SWE.2"	39	7	80	21	1	8	35	6	6	6	9	16	9	15	1	3	2	4	9	18	17	15	74	36	11	4	11	5	4	2	35	5	9	5	11	0	2	2	4	1	1	1	0	1	4	0	1	5	10	1	0	1	3	5	6	9	7	2	9	0	1	1	5	3	2	1	2	0	0	8	1	4	7	1	6	0	0	2	6	3	1	1	0	0	1	1	0	2	1	2	2	1	1	1	2	0	0	1	3	2	1	0	2	1	0	0	1	2	0	2	0	2	0	0	0	0	1	4	1	1	0	1	2	1	2	4	0	2	0	1	0	6	0	1	7	0	1	0	0	1	3	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	2	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0
"R.sorocarpa.SWE.3"	44	6	78	29	0	10	33	3	6	6	13	17	12	14	0	4	2	4	9	17	17	12	75	34	16	1	11	3	4	4	44	5	10	5	12	0	2	2	6	1	1	1	1	1	5	0	1	3	11	1	0	1	3	4	6	9	7	2	8	0	1	1	6	3	2	1	2	0	0	6	1	3	6	1	6	0	0	2	7	3	1	1	0	0	2	1	0	2	1	2	4	1	1	1	3	0	0	1	3	2	1	1	1	0	0	0	1	1	0	2	0	3	0	0	0	0	1	4	1	1	1	1	3	1	2	2	0	2	0	2	0	6	0	1	7	0	1	0	0	1	3	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	2	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	2	1	0	0	0
"R.beyrichiana.OEL.1"	45	5	89	34	0	11	35	12	14	22	6	19	5	19	2	7	11	4	5	23	23	11	53	56	19	2	9	5	5	6	35	11	16	11	9	0	1	1	4	4	1	4	1	4	2	0	0	2	12	1	0	1	4	8	2	7	4	4	7	0	1	3	5	2	2	1	0	0	1	5	0	4	6	1	2	0	0	5	7	3	2	1	0	1	2	1	0	1	0	1	2	4	2	1	2	1	0	1	3	1	1	1	0	1	1	0	1	3	0	2	0	4	0	1	0	1	1	3	1	0	0	1	2	1	2	2	0	1	3	0	0	8	0	1	14	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	7	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0
"R.beyrichiana.OEL.2"	41	4	77	29	0	9	29	12	10	19	7	16	5	18	1	7	11	2	6	17	22	11	53	46	18	3	9	5	4	3	38	12	10	12	11	0	2	2	4	1	1	1	0	3	2	0	0	3	13	1	1	0	3	6	1	7	3	3	9	0	1	1	4	1	1	1	0	0	1	2	1	3	6	1	3	0	0	4	7	3	2	1	0	1	2	1	0	1	1	1	2	2	1	1	2	0	0	1	2	2	1	1	0	1	0	0	1	2	0	2	0	3	0	1	0	1	1	2	1	0	0	1	1	1	2	3	0	1	4	0	0	5	0	1	14	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	1	0	0	0
"R.beyrichiana.OEL.3"	47	4	90	28	0	10	31	12	13	19	6	19	4	16	1	6	7	2	5	18	22	10	50	50	18	4	10	5	4	3	35	12	11	10	9	0	2	2	4	4	0	2	1	5	2	0	0	2	13	1	0	1	6	7	1	6	4	4	8	0	1	3	4	2	2	1	0	0	2	5	0	4	5	1	3	0	0	4	5	3	2	1	0	1	2	1	0	1	0	1	3	2	1	1	2	1	0	1	1	3	1	1	0	1	0	0	1	3	0	2	0	4	0	1	0	1	1	3	1	0	1	1	2	1	2	2	0	1	4	0	0	5	0	1	14	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0
"R.subbifurca.OE2.1"	44	7	78	31	0	8	31	8	8	24	11	18	7	23	1	8	9	2	6	16	28	11	64	50	16	5	10	2	1	6	44	12	10	9	11	0	1	3	4	2	1	3	0	2	4	0	2	2	13	0	0	0	5	9	1	6	3	2	8	1	1	1	4	3	1	1	0	0	1	6	0	3	9	1	3	0	0	2	3	2	7	5	0	2	2	1	0	1	0	2	3	2	1	1	2	0	0	1	4	1	1	1	2	1	0	1	1	2	0	2	2	5	0	1	0	2	2	3	1	0	1	2	1	0	3	2	0	2	0	1	0	9	1	1	13	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	2	0	1	0	0	0	0	0	1	0	0	1	0	0	1	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	1	0	0	0
"R.subbifurca.OE2.2"	49	5	87	31	1	14	27	7	12	22	13	14	10	21	4	8	7	6	6	19	26	15	45	65	16	1	12	3	2	6	41	15	13	12	10	0	1	3	5	1	0	5	1	4	2	0	2	1	14	0	0	2	4	5	2	7	4	3	7	1	1	1	5	4	1	1	0	0	1	7	0	6	6	1	2	0	1	3	2	1	6	5	0	2	2	1	0	1	0	1	2	3	2	1	2	0	0	1	3	0	1	1	1	1	0	1	1	3	0	1	2	4	0	0	1	1	1	3	1	0	1	2	0	0	3	1	0	2	2	1	0	6	1	1	11	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	2	0	1	0	0	0	1	1	0	0	0	1	0	0	1	6	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0
"R.subbifurca.OE2.3"	50	6	94	35	0	10	43	8	11	25	13	20	12	29	4	11	8	6	8	26	32	12	84	68	17	6	13	3	2	6	55	14	12	13	11	0	1	4	7	1	0	3	2	3	4	0	2	2	14	0	0	2	2	9	1	6	4	5	10	1	2	1	6	3	2	1	0	0	1	5	1	6	9	1	5	0	0	4	4	2	7	4	0	2	2	1	0	2	0	2	5	3	2	1	4	0	0	1	6	2	0	0	2	1	0	1	1	2	0	2	2	6	0	1	0	2	4	4	1	0	1	2	2	0	3	8	0	3	1	1	0	10	1	1	13	2	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	2	1	2	1	0	1	0	1	1	1	0	0	1	0	0	1	7	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0
"R.ciliifera.HAL.1"	41	2	78	41	1	9	39	9	4	12	14	23	9	18	0	9	2	2	7	20	17	16	91	55	11	3	5	2	3	6	48	12	10	8	8	0	1	2	3	2	1	1	0	3	5	0	1	4	20	0	0	1	4	6	2	6	5	3	13	0	1	1	7	5	2	1	1	0	0	5	2	4	5	1	5	1	0	3	6	3	1	5	1	1	3	1	1	1	0	2	6	1	1	1	3	0	0	1	6	3	1	0	2	1	0	0	1	1	0	2	0	4	0	0	0	2	2	4	1	0	1	1	2	1	3	5	1	0	3	3	0	5	0	1	3	0	1	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0
"R.ciliifera.HAL.2"	57	4	91	41	2	11	37	11	7	19	14	22	10	20	3	11	5	6	8	23	21	17	97	71	16	4	6	2	5	6	59	13	14	10	9	0	2	2	3	2	1	3	2	5	5	0	1	4	20	0	0	1	5	8	3	5	5	3	17	0	1	3	8	5	2	1	1	0	0	8	1	4	6	1	5	1	0	4	7	2	2	5	1	1	2	0	1	2	0	2	6	2	2	1	2	1	0	1	5	3	1	0	2	2	0	0	1	1	0	2	0	4	0	0	1	2	2	3	1	0	1	1	3	1	3	7	1	4	2	3	0	8	0	2	4	0	1	1	0	0	1	2	0	0	0	0	1	2	0	0	1	1	1	0	1	1	1	2	1	2	0	0	0	1	1	0	0	1	0	0	0	1	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	2	0	0	0	0
"R.ciliifera.HAL.3"	58	4	84	39	2	11	34	9	6	19	13	19	10	19	1	12	3	3	7	25	21	14	91	66	16	3	8	1	4	7	54	12	15	10	8	0	1	3	4	2	0	1	1	3	5	0	1	4	17	1	1	0	5	7	4	4	5	2	16	0	1	3	7	5	2	1	1	0	1	7	2	4	4	1	4	0	1	3	5	3	2	5	1	1	3	2	1	4	1	2	6	1	0	1	1	1	0	1	6	3	1	0	2	2	0	0	1	1	0	2	0	4	1	0	0	2	2	5	1	0	1	1	3	1	3	5	1	3	3	3	0	7	0	1	4	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	2	0	0	0	0	1	0	0	1	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0
