"R.gougetiana.HAL.1"	62	5	87	53	1	12	39	7	9	22	18	25	12	25	3	13	3	4	10	26	39	25	110	68	16	5	8	2	4	7	54	11	13	10	10	0	1	3	6	4	0	3	2	3	6	0	1	4	27	1	0	0	5	10	9	5	6	4	14	0	1	1	6	4	2	1	1	0	2	17	3	3	7	1	5	0	1	3	4	6	5	5	3	1	6	2	1	4	1	3	5	1	1	1	5	0	0	1	8	4	0	2	2	2	0	0	1	4	0	2	0	3	0	1	3	3	3	5	2	1	1	1	3	1	3	8	1	3	4	3	0	15	1	2	4	0	1	1	0	0	1	1	0	1	0	0	1	2	2	0	1	1	1	2	1	0	3	1	2	1	0	0	1	0	1	0	0	1	0	0	1	1	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	2	1	1	1	0
"R.gougetiana.HAL.2"	67	6	91	53	2	11	38	8	13	27	20	27	12	25	4	13	3	4	7	26	33	23	104	82	16	6	8	2	5	7	63	16	18	12	12	0	1	3	5	4	0	5	2	4	8	0	1	1	28	2	0	0	4	10	10	4	6	3	12	0	1	1	6	4	2	0	1	0	2	15	1	4	7	1	4	1	1	2	8	5	5	6	2	1	5	1	1	4	1	4	5	1	1	1	4	1	0	1	8	3	1	2	2	2	1	0	1	5	0	2	0	4	0	1	3	3	2	6	1	1	1	1	3	1	3	8	1	5	4	3	0	13	1	2	5	0	1	1	0	0	1	1	0	1	0	1	1	2	1	0	0	1	1	2	1	1	3	0	2	1	0	0	0	0	1	0	0	1	0	0	1	1	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	2	0	0	0	0
"R.gougetiana.HAL.3"	58	6	85	51	1	11	40	9	8	21	17	22	12	22	3	12	2	3	9	21	28	25	97	72	16	5	8	2	4	7	53	11	15	10	9	0	1	2	5	2	0	3	2	3	7	0	1	4	26	1	0	0	5	8	8	5	5	3	13	0	1	1	6	3	2	1	1	0	2	16	1	3	7	1	4	0	1	2	6	4	5	5	2	2	7	2	1	2	2	3	5	0	1	1	3	0	0	1	8	5	1	2	2	0	0	0	1	4	0	2	0	4	0	1	3	3	1	5	1	1	1	1	2	1	3	2	1	3	2	3	0	13	1	2	5	0	1	0	0	0	1	1	0	1	0	0	1	0	2	0	1	1	1	2	1	0	3	1	0	2	0	0	0	0	0	0	0	1	0	0	1	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	2	1	0	1	0
"R.huebeneriana.GOT.1"	36	1	57	22	2	6	31	4	6	7	8	9	7	10	1	8	6	1	2	16	19	6	39	16	12	1	9	6	3	5	38	3	7	7	9	0	1	2	5	2	1	0	0	0	2	0	0	3	6	1	0	0	2	3	2	2	3	1	6	0	1	1	4	5	2	1	0	1	2	4	0	3	4	1	5	0	0	3	7	2	4	1	2	1	1	1	0	2	0	1	1	0	1	1	2	0	0	1	1	2	0	1	0	1	1	0	0	2	0	1	0	4	0	0	0	0	1	5	1	0	0	1	2	0	1	1	0	1	1	0	0	1	2	1	9	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0
"R.huebeneriana.GOT.2"	30	0	54	18	2	7	25	5	5	7	4	7	5	10	0	6	7	1	0	15	13	7	33	11	9	1	7	3	3	6	30	2	7	8	8	0	0	2	4	1	1	1	0	0	2	0	0	2	5	1	0	0	2	4	1	2	3	1	5	0	1	1	3	4	2	1	0	1	2	4	0	2	3	1	5	0	0	2	7	2	4	1	2	1	1	0	0	1	0	1	1	0	1	1	2	0	0	1	1	2	0	0	0	1	1	0	0	2	0	0	0	4	0	0	0	0	1	3	1	0	0	1	1	0	1	0	0	2	0	0	0	1	1	1	9	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0
"R.huebeneriana.GOT.3"	30	1	42	18	2	6	29	6	4	7	5	10	6	11	0	6	7	1	1	14	11	5	31	12	9	1	7	4	3	7	34	2	6	6	8	0	1	2	5	1	1	0	0	0	2	0	0	3	6	1	0	0	2	3	0	4	3	1	6	0	1	1	4	3	2	1	0	1	2	4	0	2	3	1	5	0	0	1	5	0	4	0	2	1	1	1	0	2	0	1	1	0	1	1	2	0	0	1	1	2	0	1	0	1	1	0	0	1	0	0	0	4	0	0	0	0	1	4	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	7	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0
"A.gracilis.SWE.1"	44	2	49	27	0	10	7	16	15	16	8	12	8	10	0	4	2	2	2	12	25	14	45	25	10	0	7	3	4	1	30	5	7	10	4	0	0	1	5	0	0	2	0	0	4	2	0	2	10	0	1	0	3	3	2	5	1	2	6	1	0	3	1	3	2	1	0	1	1	3	0	2	3	1	2	0	0	1	5	3	1	1	1	2	1	1	0	1	0	1	0	0	0	0	5	0	1	1	1	3	3	2	0	1	0	0	1	0	2	1	0	4	0	0	1	2	0	4	0	0	1	1	1	1	2	5	0	0	1	0	0	6	0	1	14	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	4	1	0	0	0
"A.gracilis.SWE.2"	46	2	56	31	0	13	6	18	14	16	10	12	7	11	0	2	5	4	2	14	32	14	48	27	7	1	11	3	4	1	32	3	10	11	5	0	0	1	5	0	0	5	0	1	5	2	0	0	9	1	1	0	4	3	3	4	1	3	6	1	0	3	1	5	2	1	0	1	0	5	0	1	2	1	5	0	0	1	5	4	2	3	2	2	2	1	0	3	0	2	2	0	0	0	6	0	1	1	2	4	3	2	0	1	0	0	1	0	2	0	1	3	0	0	1	2	0	5	0	0	2	1	1	1	3	6	0	0	1	0	0	8	0	1	10	0	0	1	0	0	0	1	0	0	1	4	0	0	0	0	0	2	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	3	1	0	0	0
"A.gracilis.SWE.3"	26	2	34	27	0	6	8	13	10	12	4	7	4	8	0	4	3	0	0	9	15	8	32	16	4	0	4	3	3	0	13	3	3	6	2	0	0	1	3	0	0	0	0	0	3	2	0	1	8	0	1	0	1	1	1	4	1	3	4	1	0	2	1	4	2	1	0	1	1	1	0	2	2	1	2	0	0	1	5	2	1	0	1	1	1	1	0	0	1	0	0	0	0	0	4	0	1	1	0	1	0	1	0	0	0	0	1	0	2	0	0	3	0	0	1	2	0	2	0	0	1	1	0	1	1	0	0	2	1	0	0	5	0	1	8	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
"R.gothica.GOT.1"	68	6	105	34	0	15	36	11	10	29	15	21	14	27	4	13	5	6	6	30	26	14	79	87	19	3	12	6	5	6	65	10	24	15	12	0	0	6	4	8	0	8	3	6	5	0	1	1	15	2	0	2	4	10	0	6	6	5	10	0	1	3	9	3	2	1	0	0	2	5	2	6	9	1	3	1	1	4	5	4	1	2	0	2	1	1	0	2	1	2	4	3	2	1	5	2	0	1	3	2	1	2	3	2	1	0	2	4	0	1	0	4	1	0	0	0	2	5	1	0	1	1	1	2	3	6	0	5	0	0	0	3	0	1	15	1	1	1	2	0	0	3	0	0	0	1	1	1	0	0	0	1	0	0	2	0	3	0	2	0	0	0	0	1	1	0	0	0	1	0	0	1	5	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	1	0	2	0	0	0	0
"R.gothica.GOT.2"	53	2	90	36	0	10	45	9	13	26	12	22	10	22	4	10	7	5	7	29	22	11	84	67	16	5	9	5	5	4	48	10	14	14	12	0	0	3	4	4	0	4	2	5	5	0	0	4	13	3	0	1	3	6	0	5	5	4	11	0	1	1	6	4	2	2	0	0	0	3	2	4	9	1	3	0	1	3	5	3	2	3	0	1	4	1	0	2	0	1	3	1	1	1	4	1	0	1	5	3	1	2	2	1	0	0	1	2	0	2	0	4	1	0	0	1	2	5	1	0	0	1	2	1	3	7	0	4	0	0	0	3	0	1	14	0	0	1	0	0	0	1	0	0	0	0	1	3	0	0	1	1	0	0	1	1	3	1	2	0	1	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	2	0	0	0	0
"R.gothica.GOT.3"	51	4	96	32	0	12	42	12	11	25	13	25	13	20	5	11	7	6	7	30	18	11	84	74	18	5	10	4	5	4	55	10	18	15	10	1	0	3	4	5	0	6	2	4	6	0	0	4	15	2	0	1	2	8	1	4	5	2	11	0	1	3	9	4	2	2	0	0	0	4	2	4	8	1	3	0	1	4	5	3	0	3	0	1	3	1	0	0	0	1	5	2	2	1	4	1	0	1	6	3	1	1	2	1	1	0	1	3	0	2	0	5	1	0	0	1	2	5	1	0	1	1	2	1	3	6	0	4	2	0	0	3	0	1	14	0	0	1	0	0	0	1	0	0	0	0	1	2	0	1	1	1	0	0	1	0	3	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	2	0	0	0	0
"M.fragrans.GOT.1"	25	0	44	11	0	3	5	3	6	5	4	4	3	6	1	2	5	2	4	8	14	9	36	14	11	1	5	3	0	3	15	0	1	14	4	0	0	2	4	5	0	1	0	1	1	0	0	4	4	1	0	0	2	5	3	6	2	1	4	0	0	0	0	6	1	2	0	0	0	4	0	1	0	0	4	0	0	2	3	5	0	1	0	0	0	1	0	0	1	1	1	1	1	0	3	0	1	0	2	1	1	0	0	0	0	0	2	2	0	1	0	3	0	0	0	0	0	6	1	0	1	1	1	0	2	2	0	2	0	0	0	3	0	0	9	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	1
"M.fragrans.GOT.2"	28	1	42	9	0	5	2	3	9	7	4	10	2	6	1	2	5	1	3	8	15	7	42	14	6	0	6	4	0	4	14	0	1	11	1	0	0	2	3	4	0	1	0	1	2	1	0	3	5	1	0	0	4	2	3	8	3	2	5	1	0	1	0	4	1	1	0	0	0	4	0	0	1	0	2	0	0	2	4	5	1	2	0	0	1	1	0	0	1	2	0	0	1	1	4	0	1	0	0	2	1	1	0	0	0	0	2	1	0	1	0	3	0	0	0	0	0	5	1	0	2	1	1	0	3	1	0	1	0	0	0	3	0	0	9	1	1	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	2	2	0	0	1
"M.fragrans.GOT.3"	33	3	45	18	0	7	4	4	9	10	6	12	2	7	0	2	3	0	2	10	14	5	38	12	7	0	6	4	0	3	17	2	1	11	1	0	0	1	3	3	0	1	0	1	1	1	0	3	7	0	0	0	1	3	2	5	3	2	4	0	0	0	0	5	2	0	2	0	0	4	1	2	3	0	2	0	0	0	4	5	0	1	0	0	1	2	0	0	1	2	0	0	2	1	4	0	1	0	1	2	1	0	0	0	0	0	2	1	0	1	0	3	0	0	0	0	0	4	0	0	1	1	1	0	3	1	0	1	1	0	0	3	0	0	7	0	1	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	0
"R.hemisphaerica.GOT.1"	37	7	44	42	0	15	5	5	14	14	10	15	6	8	1	5	4	2	1	9	16	8	47	21	13	0	5	3	1	4	33	3	6	11	4	1	0	0	4	3	0	2	0	1	2	2	0	2	10	0	0	0	1	2	1	8	2	2	6	2	0	1	0	6	3	0	4	0	0	2	1	3	2	0	1	1	0	0	5	5	2	5	1	0	2	2	0	1	0	2	0	0	1	1	8	0	1	0	2	4	1	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	6	1	0	0	1	1	0	2	5	0	1	2	0	1	4	0	1	27	1	2	1	0	0	0	1	1	0	1	5	0	0	0	0	0	2	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	2	0	1	0
"R.hemisphaerica.GOT.2"	41	4	55	46	0	17	6	7	16	15	13	13	8	9	0	4	7	2	1	14	18	14	46	20	13	0	7	3	1	4	33	2	3	14	4	1	1	1	4	4	0	2	1	1	3	2	0	2	8	0	1	0	1	2	1	6	3	2	5	2	0	1	1	6	3	0	2	0	0	3	0	3	4	0	3	1	0	1	5	4	2	5	1	0	1	2	0	1	0	3	0	1	1	1	9	0	1	0	2	6	1	1	0	0	0	0	2	1	0	1	1	4	0	0	0	0	0	5	1	0	1	1	1	0	3	6	0	0	1	0	1	4	0	1	27	1	1	1	0	0	1	1	1	0	1	4	0	0	0	0	0	2	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0
"R.hemisphaerica.GOT.3"	41	4	48	45	0	17	8	9	17	16	13	13	6	11	1	4	8	2	2	13	18	15	46	21	15	0	5	3	1	3	35	2	5	14	4	1	0	0	5	4	0	4	0	2	3	2	0	2	9	0	0	0	2	2	3	7	2	2	8	2	0	0	2	5	2	1	4	0	0	2	1	3	3	0	4	1	0	1	6	5	2	5	1	0	2	2	0	1	0	2	0	0	1	1	8	0	1	0	2	5	1	0	0	0	0	0	1	2	0	0	1	5	0	0	0	0	0	4	1	0	2	1	1	0	3	4	0	1	2	0	1	5	0	1	29	2	1	1	0	0	1	1	1	0	1	4	0	0	0	0	0	2	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0
"A.hyalina.GOT.1"	30	2	38	17	0	12	7	8	8	13	4	14	4	7	1	2	6	0	3	14	20	9	46	21	9	1	7	5	0	2	21	3	2	7	3	0	0	1	4	2	0	2	0	0	4	0	0	1	9	3	1	0	2	4	4	3	3	2	7	1	0	2	3	6	2	1	2	0	0	4	1	4	3	0	3	0	0	1	6	1	2	2	0	0	1	1	0	0	2	1	1	0	0	1	6	0	1	0	1	3	1	0	1	1	0	1	2	0	1	0	0	3	1	0	0	2	0	4	0	0	1	1	1	1	3	3	0	0	2	0	0	3	0	0	16	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0
"A.hyalina.GOT.2"	28	1	50	19	0	13	5	9	8	11	4	10	4	8	0	2	6	0	3	15	21	7	36	19	11	1	7	4	1	2	18	4	4	7	1	0	0	1	3	2	0	2	0	0	5	1	0	1	8	2	1	0	2	3	4	5	4	2	5	2	0	2	2	6	2	0	2	0	0	4	2	3	3	1	6	0	0	1	5	1	1	2	0	0	1	1	0	0	1	0	0	0	0	1	6	0	1	0	0	4	1	0	1	0	0	1	1	1	1	0	1	2	1	0	0	3	0	4	0	0	1	1	1	0	2	3	0	0	4	0	0	3	0	0	15	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	3	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0
"A.hyalina.GOT.3"	31	1	36	14	0	9	5	9	9	12	3	11	4	6	1	2	6	1	3	16	19	7	38	17	9	1	8	3	0	3	16	3	3	7	1	0	0	2	3	2	0	1	0	1	2	0	0	2	8	2	1	0	2	3	1	7	3	3	6	1	0	2	1	6	1	0	0	0	0	4	2	5	4	0	4	0	0	1	5	1	1	2	0	0	1	1	0	0	1	1	1	0	0	1	6	0	1	0	1	3	1	0	0	0	0	0	2	0	1	0	0	2	1	0	0	1	0	4	0	0	1	1	1	1	2	2	0	0	3	0	0	1	0	0	13	0	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0
