"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lignans, neolignans and related compounds"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"	"Corynanthean-type alkaloids"	"Ergoline and derivatives"	"Lupin alkaloids"	"Anthracenes"	"Benzene and substituted derivatives"	"Naphthalenes"	"Phenol ethers"	"Phenols"	"Furanoid lignans"	"Lignan glycosides"	"Lignan lactones"	"Fatty Acyls"	"Glycerophospholipids"	"Prenol lipids"	"Saccharolipids"	"Steroids and steroid derivatives"	"5-5-dinucleotides"	"5-deoxyribonucleosides"	"Purine nucleosides"	"Purine nucleotides"	"Pyrimidine nucleosides"	"Pyrimidine nucleotides"	"Allyl-type 1,3-dipolar organic compounds"	"Carboxylic acids and derivatives"	"Hydroxy acids and derivatives"	"Keto acids and derivatives"	"Organic phosphonic acids and derivatives"	"Organic phosphoric acids and derivatives"	"Organic sulfonic acids and derivatives"	"Organic sulfuric acids and derivatives"	"Peptidomimetics"	"Organonitrogen compounds"	"Organooxygen compounds"	"Aryl halides"	"Azaphilones"	"Azoles"	"Benzimidazoles"	"Benzodiazepines"	"Benzodioxoles"	"Benzopyrans"	"Benzothiazines"	"Benzothiophenes"	"Biotin and derivatives"	"Diazanaphthalenes"	"Diazinanes"	"Diazines"	"Dioxepanes"	"Dithiolanes"	"Imidazopyrimidines"	"Indoles and derivatives"	"Isoindoles and derivatives"	"Isoquinolines and derivatives"	"Naphthopyrans"	"Oxanes"	"Oxepanes"	"Pteridines and derivatives"	"Pyridines and derivatives"	"Pyrroles"	"Quinolines and derivatives"	"Tetrahydroisoquinolines"	"Tetrapyrroles and derivatives"	"Thienopyrimidines"	"Thioethers"	"2-arylbenzofuran flavonoids"	"Anthracyclines"	"Cinnamic acids and derivatives"	"Coumarins and derivatives"	"Depsides and depsidones"	"Diarylheptanoids"	"Flavonoids"	"Isoflavonoids"	"Linear 1,3-diarylpropanoids"	"Macrolactams"	"Tannins"	"Tetracyclines"
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Int4_RC8_1_11951"	611	1	93	8	46	17	1	212	9	73	3	53	2	93	1	0	0	2	67	7	3	12	0	3	1	9	1	32	1	2	3	0	8	5	0	1	1	201	0	5	0	1	4	1	0	9	73	3	1	2	0	1	1	9	1	1	2	1	0	4	0	0	5	8	2	1	3	0	0	3	0	0	1	1	0	6	2	3	0	9	1	0	2	74	3	0	0	1	0
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Int5_BC7_1_12002"	577	2	83	11	39	13	1	207	8	71	3	48	1	90	2	0	0	2	62	5	1	11	0	5	1	9	2	23	0	3	3	0	6	3	1	0	1	192	2	6	0	0	6	1	0	8	71	3	0	1	0	1	1	6	1	1	1	0	0	4	0	0	6	6	2	1	6	0	0	1	1	1	1	1	0	6	1	2	0	13	1	0	1	70	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd1_RA8_1_11929"	560	1	83	10	41	15	1	202	7	68	3	45	1	83	1	0	0	4	57	6	1	13	1	5	0	8	2	28	0	3	5	0	6	3	1	0	1	189	1	5	0	1	5	1	0	7	68	3	1	2	0	0	1	5	0	1	1	1	1	4	0	0	7	8	2	1	2	0	0	1	0	1	1	1	0	4	1	3	0	14	0	0	0	62	4	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd2_RB7_1_11939"	573	1	82	10	34	12	1	217	8	72	3	46	2	85	1	0	0	3	60	4	4	8	1	4	2	7	0	23	0	3	4	0	6	1	1	0	1	203	1	4	0	1	6	2	0	8	72	3	1	2	0	0	2	5	0	0	3	1	0	3	0	0	5	9	3	1	2	0	0	0	1	0	2	1	0	5	2	4	0	14	1	0	1	62	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd3_RE6_1_11968"	610	2	91	8	47	14	1	219	7	72	3	54	2	90	2	0	0	4	65	6	3	10	1	4	1	9	1	32	0	3	5	0	6	3	0	0	1	206	1	5	0	1	5	1	0	7	72	3	1	3	0	1	1	8	0	1	1	1	1	3	0	0	8	7	2	1	3	0	0	2	2	0	1	1	0	6	2	1	0	13	1	0	1	69	5	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd4_BE6_1_12020"	666	1	100	12	45	21	2	227	8	82	4	72	2	90	1	0	0	4	69	8	4	11	0	4	1	11	1	30	0	2	4	1	8	5	1	2	2	214	0	6	0	1	5	1	0	8	82	4	1	4	0	1	3	9	0	1	5	0	1	6	0	0	9	9	3	1	7	0	0	4	0	1	1	1	0	5	2	3	0	13	1	0	1	68	4	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd5_GC7_1_12054"	625	1	90	11	38	18	1	213	8	81	1	59	1	103	1	0	0	3	66	6	2	11	1	4	1	8	2	25	0	2	4	0	7	4	1	2	1	199	1	7	0	0	5	1	0	8	81	1	1	2	0	1	1	8	1	1	1	0	0	4	0	0	9	10	3	0	4	0	0	2	2	1	1	1	0	6	1	3	0	13	2	0	1	81	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Int1_RB3_1_11935"	565	2	84	7	56	11	3	219	7	63	1	56	2	54	2	0	0	0	55	8	6	10	1	2	0	20	2	27	0	3	4	1	2	4	0	0	3	207	3	1	1	1	3	2	1	7	63	1	3	3	1	0	3	3	0	1	0	0	2	8	0	0	7	12	2	1	3	0	0	1	1	1	2	0	0	2	2	2	0	11	2	0	0	36	1	2	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Int2_BC8_1_12003"	502	2	78	7	53	6	1	207	8	52	1	47	1	39	2	0	0	2	52	6	4	9	1	3	0	22	2	24	0	2	2	0	2	2	0	0	1	192	3	3	1	2	3	2	1	8	52	1	2	2	1	0	2	4	0	1	1	0	1	7	0	0	5	10	3	1	1	0	0	1	1	1	1	0	0	2	1	1	0	8	1	0	1	26	1	1	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Int3_BA8_1_11981"	519	3	86	7	51	9	0	203	7	58	1	52	2	40	3	0	0	3	56	7	4	12	1	3	0	19	1	24	0	4	2	1	2	4	0	0	0	195	2	0	1	0	1	3	1	7	58	1	3	1	0	0	3	6	0	1	1	0	2	6	0	0	4	13	3	1	4	0	0	1	1	1	1	0	0	0	2	1	0	8	1	0	1	27	1	1	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Int4_BB6_1_11990"	118	0	20	1	13	2	1	54	0	13	0	8	1	5	0	0	0	0	13	1	1	4	1	0	0	9	0	2	0	0	0	0	1	1	0	0	1	48	0	2	0	1	0	3	0	0	13	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Int5_RE1_1_11963"	552	2	88	8	53	11	0	219	8	58	1	54	1	49	2	0	0	2	60	8	4	11	0	3	0	19	2	24	1	3	2	2	2	5	0	0	0	209	2	0	1	2	3	2	0	8	58	1	2	1	2	0	2	3	0	1	2	0	1	8	0	0	5	13	2	1	3	0	0	2	1	1	1	0	0	3	1	3	0	5	1	0	0	37	1	1	0	0	1
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd1_BD4_1_12007"	486	1	80	4	43	5	1	205	7	61	1	39	3	36	1	0	0	0	54	3	7	12	1	2	1	18	1	18	0	3	0	2	1	2	0	0	1	195	1	2	1	1	3	2	0	7	61	1	1	2	0	0	2	2	0	0	0	0	2	5	0	0	2	11	3	0	4	0	0	2	1	0	0	0	0	2	3	1	0	7	1	0	1	24	0	1	0	1	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd2_BA6_1_11979"	505	2	77	5	49	12	1	205	6	52	1	49	3	43	2	0	0	0	49	8	4	13	1	2	0	18	3	22	1	2	3	1	4	4	0	0	1	193	2	2	1	2	2	3	0	6	52	1	2	1	0	0	2	4	0	0	2	0	1	7	0	0	3	14	3	1	4	0	0	1	1	1	1	0	0	1	3	2	0	9	1	0	0	31	0	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd3_BB4_1_11988"	559	3	83	7	50	13	1	229	11	58	1	56	2	45	3	0	0	2	55	8	5	10	1	2	0	17	2	23	0	3	2	2	3	6	0	0	1	217	2	1	1	2	3	3	0	11	58	1	3	1	1	0	2	6	0	1	2	0	2	9	0	0	5	11	2	1	2	0	0	2	1	1	1	0	0	3	2	1	1	7	1	0	0	33	0	2	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd4_GD6_1_12061"	531	3	78	5	53	8	1	210	10	62	1	53	2	45	3	0	0	0	52	6	4	11	1	2	0	18	1	25	1	4	2	1	2	3	0	0	1	200	3	0	1	2	1	3	0	10	62	1	2	2	1	0	1	5	0	1	2	0	1	7	0	0	4	13	3	1	3	0	0	2	1	1	0	0	0	3	2	2	0	8	1	0	1	30	1	2	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd5_RD8_1_11962"	499	3	77	4	44	9	0	204	8	54	1	52	1	42	3	0	0	1	50	7	6	10	0	2	0	15	2	21	0	3	1	1	3	4	0	0	0	192	2	1	1	1	2	4	1	8	54	1	3	2	1	0	1	6	0	1	1	0	1	7	0	0	5	12	2	1	3	0	0	1	1	1	1	0	0	2	1	1	0	8	1	0	1	27	1	2	0	0	1
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Int1_GD7_1_12065"	1015	8	127	23	104	21	2	400	10	117	1	104	1	97	6	1	1	3	82	11	13	12	2	11	0	18	4	62	1	15	3	2	6	9	0	1	2	385	1	1	0	2	4	4	3	10	117	1	3	4	4	1	2	6	5	1	6	1	1	9	0	0	11	14	2	1	9	1	8	1	4	2	2	1	1	4	1	3	0	17	2	0	2	64	5	2	1	0	1
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Rd1_GB3_1_12039"	958	3	126	21	102	22	2	358	11	113	1	98	1	100	2	1	0	3	80	12	14	12	1	9	1	17	3	61	2	15	4	3	4	10	0	1	2	347	0	1	0	2	4	2	2	11	113	1	3	4	3	0	1	5	5	1	4	1	4	8	0	0	12	16	1	1	8	0	6	1	4	1	4	1	0	4	1	3	0	15	4	0	5	64	4	2	1	0	2
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Rd3_RB5_1_11937"	934	5	123	18	94	14	3	371	9	107	1	93	1	95	3	1	1	3	79	12	13	10	3	7	1	13	3	58	1	14	3	2	4	4	0	1	3	357	3	1	0	2	4	2	2	9	107	1	3	2	4	0	1	4	5	1	6	1	3	9	0	0	10	15	1	1	7	1	8	2	4	2	1	0	0	2	1	3	1	14	4	0	4	59	5	2	1	0	2
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Rd4_RA4_1_11925"	912	4	128	19	90	15	2	340	10	105	1	96	1	101	3	1	0	3	82	10	16	11	3	7	1	15	5	49	2	15	3	2	5	4	0	1	2	324	3	1	1	2	3	3	3	10	105	1	2	4	4	1	0	5	5	1	4	1	2	6	0	0	11	17	2	1	9	1	7	2	4	2	3	0	0	2	1	3	0	13	3	0	2	73	3	1	1	0	2
"neg_DANCE_RDvsIR_2021_SJ_Censet_Int1_RE2_1_11964"	525	2	81	14	46	13	3	185	6	73	1	41	2	58	1	0	1	1	62	8	2	5	1	7	0	5	2	36	1	1	1	0	7	5	0	0	3	180	1	0	0	1	3	0	0	6	73	1	1	1	0	0	2	3	1	1	0	0	2	5	0	0	4	9	1	1	2	0	0	2	1	1	1	1	0	2	2	0	0	4	0	0	0	51	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Censet_Rd1_GE3_1_12069"	468	2	72	10	39	11	1	186	3	68	2	34	1	39	1	0	1	2	53	8	1	7	1	4	0	7	1	28	1	1	1	0	7	3	0	0	1	179	1	1	1	1	3	0	0	3	68	2	1	1	0	0	2	5	1	0	2	0	2	4	0	0	3	6	1	0	2	0	0	1	1	1	0	0	0	1	1	0	0	3	0	0	2	31	2	0	0	0	1
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd1_RC1_1_11941"	701	2	103	10	58	13	1	255	5	99	1	64	1	89	2	0	0	2	69	7	9	9	1	3	0	17	2	32	0	4	4	2	3	4	0	0	1	244	3	1	1	2	3	0	1	5	99	1	2	3	1	0	1	5	0	1	1	1	2	7	1	0	4	14	1	1	3	1	1	2	3	1	3	0	0	5	1	3	0	12	3	3	1	65	1	0	1	0	0
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd2_RB1_1_11930"	693	1	98	13	55	15	1	267	9	88	1	69	2	74	1	0	0	2	71	5	7	9	1	4	0	16	2	29	0	4	4	2	4	5	0	0	1	255	2	1	1	1	3	3	1	9	88	1	1	3	3	0	4	4	1	0	2	0	3	9	1	0	7	11	1	1	3	1	0	2	3	2	1	1	0	5	2	2	0	14	2	3	1	49	2	0	0	0	1
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd3_BC5_1_12000"	771	2	117	14	65	17	2	284	8	106	1	67	1	87	2	0	0	2	76	9	10	15	1	5	0	18	3	35	0	6	2	2	3	9	0	1	2	267	4	1	1	2	5	3	1	8	106	1	1	3	1	0	2	7	0	1	3	1	1	8	1	0	6	10	3	2	4	1	0	2	2	2	1	1	0	4	1	2	1	14	2	3	1	62	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd4_RE3_1_11965"	707	2	89	14	61	11	2	275	5	94	0	71	2	81	2	0	0	2	56	8	11	7	1	5	0	16	2	36	0	3	2	1	2	5	0	1	2	260	3	1	1	2	4	3	1	5	94	0	1	3	2	0	2	5	0	1	3	1	1	9	1	0	8	12	3	1	5	0	0	3	2	1	3	0	0	4	2	3	0	14	2	3	0	57	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Int1_RD7_1_11961"	602	1	90	11	47	17	1	210	7	76	3	54	2	83	1	0	0	2	71	5	3	7	1	4	1	14	2	27	1	3	2	0	7	7	0	1	1	199	1	5	0	1	3	1	0	7	76	3	1	3	0	1	1	6	1	1	2	1	0	5	0	0	5	8	1	0	6	0	0	1	1	1	1	1	1	6	2	3	0	12	0	1	1	63	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd1_BD5_1_12008"	651	2	103	12	54	14	1	225	8	85	4	57	2	84	2	0	0	3	78	7	4	9	1	5	1	11	1	36	1	3	2	0	7	4	0	1	1	210	1	7	0	0	5	2	0	8	85	4	1	3	1	1	2	5	0	1	3	1	0	6	0	0	7	8	1	0	4	0	0	3	1	1	1	1	0	6	2	1	0	15	1	0	0	63	3	0	0	1	0
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd2_GD1_1_12056"	675	2	103	15	54	19	2	228	7	82	3	64	2	94	2	0	0	2	74	8	5	9	1	6	1	9	2	38	0	3	2	1	8	6	1	1	2	216	0	7	0	0	4	1	0	7	82	3	1	2	0	1	3	7	1	1	3	1	2	5	0	0	9	9	2	1	6	0	0	2	0	0	1	1	0	6	2	3	0	10	1	0	1	74	4	0	0	1	0
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd3_RC2_1_11942"	653	1	93	8	54	18	1	240	9	75	3	58	2	91	1	0	0	3	64	7	5	12	1	3	1	11	2	38	0	2	3	1	6	6	1	1	1	225	1	7	0	0	5	2	0	9	75	3	1	3	2	1	1	6	0	1	2	1	2	6	0	0	7	8	2	0	2	0	0	3	1	2	1	1	0	5	2	3	0	16	0	0	0	68	4	0	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd4_GB6_1_12042"	675	1	95	15	53	20	2	233	9	89	3	57	2	96	1	0	0	1	70	9	4	8	2	6	1	13	2	32	0	4	4	1	7	5	1	2	2	220	0	7	0	1	4	1	0	9	89	3	1	4	0	1	2	7	1	1	4	1	1	6	0	0	7	8	1	1	4	0	0	1	0	0	1	1	0	4	2	3	0	13	2	0	1	73	3	0	0	1	0
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd5_BC1_1_11993"	651	1	95	11	43	19	1	236	9	81	4	56	1	94	1	0	0	3	66	8	1	13	0	7	1	10	2	26	0	4	3	0	7	7	1	1	1	222	1	8	0	0	4	1	0	9	81	4	2	2	0	1	1	5	1	1	3	1	0	3	0	0	8	9	2	1	6	0	0	2	1	0	1	1	0	5	1	3	0	9	1	0	0	74	5	1	0	1	0
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int1_BA5_1_11978"	501	1	75	6	46	8	1	206	6	56	1	46	4	45	1	0	0	0	52	7	2	12	1	2	0	17	2	21	0	3	2	2	3	1	0	0	1	194	3	1	0	1	4	3	0	6	56	1	2	2	0	0	2	5	0	1	1	0	2	6	0	1	5	10	2	0	3	0	0	1	1	0	0	0	0	2	4	2	0	7	1	0	1	30	1	2	0	0	1
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int2_GC8_1_12055"	578	4	84	4	57	9	2	240	6	64	1	55	3	49	4	0	0	3	56	8	2	10	1	0	0	17	3	29	0	4	2	1	3	3	0	0	2	226	2	1	1	2	4	4	0	6	64	1	2	2	2	0	2	3	0	1	1	0	2	8	0	1	6	11	2	1	3	0	0	2	1	1	1	0	0	3	3	3	0	11	1	0	0	31	1	2	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int3_BD3_1_12006"	590	2	83	6	62	11	1	239	9	69	1	51	3	53	2	0	0	1	55	9	2	12	1	2	0	18	5	32	0	4	3	1	2	4	0	1	1	225	2	1	1	1	4	4	1	9	69	1	2	2	0	0	2	6	0	0	0	0	2	8	0	1	4	10	2	1	2	0	0	2	1	1	2	0	0	3	3	1	0	9	1	0	1	37	1	2	0	0	1
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int4_GB7_1_12043"	603	3	89	8	61	11	0	245	9	58	1	59	2	57	3	0	0	2	52	11	6	14	1	3	0	19	4	31	0	4	4	2	2	3	0	0	0	233	1	1	1	2	1	5	1	9	58	1	1	2	1	0	3	3	0	1	1	0	1	9	0	0	6	14	2	1	8	0	0	2	1	0	1	0	0	2	2	1	0	9	2	0	0	43	1	1	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int5_GA1_1_12026"	672	3	93	9	64	13	1	254	11	82	1	65	1	75	3	0	0	1	58	13	4	12	2	4	0	17	5	35	0	4	3	1	3	6	0	0	1	241	2	1	1	0	4	5	0	11	82	1	3	3	2	0	2	4	0	1	0	0	3	7	0	1	4	13	2	1	8	0	0	1	2	1	2	0	0	5	1	2	1	13	2	0	0	52	2	2	0	0	1
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd1_RB8_1_11940"	554	3	83	9	48	10	4	223	9	60	1	50	4	50	2	1	0	0	59	8	3	9	2	4	1	18	3	24	0	2	0	2	4	4	0	0	4	208	3	1	1	2	3	4	1	9	60	1	1	3	0	0	3	4	0	1	1	1	3	8	0	0	6	9	2	1	2	0	0	1	0	0	2	0	0	2	4	2	0	9	1	0	1	34	1	2	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd2_RD5_1_11956"	545	1	79	6	55	8	3	228	9	56	1	51	3	45	1	0	0	2	53	8	3	10	1	2	0	22	2	23	1	4	2	1	3	2	0	0	3	213	2	1	1	2	3	5	1	9	56	1	1	2	1	0	2	4	0	1	1	0	2	8	0	0	5	14	2	1	3	0	0	2	1	0	0	0	0	1	3	2	0	6	1	0	0	35	1	0	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd3_BB8_1_11992"	584	3	83	7	54	7	2	235	11	68	1	55	2	56	3	0	0	2	53	7	3	13	1	3	0	18	2	27	0	3	1	0	2	4	0	0	2	221	2	1	1	1	3	5	1	11	68	1	1	2	1	0	2	4	0	1	1	0	1	11	0	0	4	11	2	1	5	0	0	2	1	0	1	0	0	4	2	2	0	8	1	0	1	40	1	2	0	0	1
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd4_BB7_1_11991"	545	2	79	8	51	9	2	226	10	63	1	52	1	41	2	0	0	2	56	6	3	9	1	2	0	17	3	26	0	2	2	1	2	4	0	0	2	214	2	1	1	1	1	5	1	10	63	1	2	2	2	0	2	2	0	1	1	0	2	6	0	1	8	10	2	1	2	0	0	2	1	1	1	0	0	3	1	1	0	8	1	0	0	29	1	1	0	0	0
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd5_RA5_1_11926"	474	3	76	4	48	10	1	182	7	55	1	40	2	45	3	0	0	0	48	9	3	12	1	1	0	19	4	21	0	2	2	1	2	5	0	0	1	170	2	1	1	1	3	4	0	7	55	1	1	3	0	0	1	3	0	1	1	0	0	3	0	0	5	11	1	0	4	0	0	2	1	0	0	0	0	3	2	1	0	7	2	0	1	32	1	1	0	0	0
